Order ID,Purchase Date,Product Name,Product Category,Price,Quantity,Revenue,Customer Rating,Region,Payment Method
ORD10661,06-27-2023,Laptop Pro,Gadgets,50425.43,1,50425.43,3.4,East,COD
ORD10274,10-09-2023,Gaming Console,Gadgets,34524.22,3,103572.66,4.8,west,Debit card
ORD10394,09-29-2022,Wireless Earbuds,Gadgets,60869.98,1,60869.98,3.9,NORTH,COD
ORD10218,07-02-2025,Smartwatch Z,ELECTRONICS,67028.04,3,201084.12,4.4,south,UPI
ORD10922,07-03-2022,Smartwatch Z,Electronics,93749.78,4,374999.12,3.2,South,UPI
ORD11156,"Mar 19, 2023",Gaming Console,electronics,35808.4,4,143233.6,3.3,South,upi
ORD11202,03-04-2024,Smartwatch Z,ELECTRONICS,42589.84,4,170359.36,3.9,south,Credit Card
ORD10351,02-05-2024,Gaming Console,ELECTRONICS,69451.09,4,277804.36,2.4,NORTH,cod
ORD10067,23-12-2025,Smartphone X,electronics,25382.71,4,101530.84,3.1,west,cod
ORD10049,20-03-2023,Smartwatch Z,ELECTRONICS,58081.02,4,232324.08,6.9,NORTH,upi
ORD10816,29-10-2022,Smartwatch Z,electronics,41208.23,2,82416.46,4.6,south,UPI
ORD10076,05-23-2025,Smartphone X,electronics,34976.41,4,139905.64,2.5,south,Credit Card
ORD10358,06-06-2023,Laptop Pro,ELECTRONICS,58592.36,3,175777.08,3.2,west,UPI
ORD11225,"Oct 06, 2024",Laptop Pro,ELECTRONICS,45118.39,1,45118.39,4.1,NORTH,upi
ORD10398,"Jul 21, 2024",Laptop Pro,ELECTRONICS,63895.22,1,63895.22,5,South,Debit card
ORD10123,10-04-2024,Wireless Earbuds,electronics,40686.7,4,162746.8,4.4,East,UPI
ORD10203,"Jan 16, 2022",Wireless Earbuds,Electronics,48217.6,3,144652.8,1.3,west,UPI
ORD10220,21-08-2023,Wireless Earbuds,electronics,,3,142324.95,2.6,south,cod
ORD11018,"May 10, 2025",Wireless Earbuds,Electronics,77574.19,2,155148.38,4.6,south,COD
ORD11048,15-12-2023,Smartwatch Z,Gadgets,79194.64,1,79194.64,2.5,west,Credit Card
ORD10925,05-12-2023,Smartwatch Z,electronics,30529.08,3,91587.24,3.2,NORTH,Debit card
ORD10772,11-21-2024,Smartphone X,Electronics,31925.96,4,127703.84,1.4,South,Debit card
ORD10585,"Jan 12, 2022",Gaming Console,electronics,32205.08,2,64410.16,4.7,East,upi
ORD10944,07-15-2024,Wireless Earbuds,electronics,,4,188844.28,2.5,south,upi
ORD10382,"Feb 06, 2022",Smartphone X,Electronics,27545.56,4,110182.24,1.3,East,upi
ORD10115,09-06-2022,Smartwatch Z,Electronics,83027.02,3,249081.06,2,East,Credit Card
ORD10479,03-01-2025,Gaming Console,ELECTRONICS,-38544.63,1,-38544.63,1.8,west,UPI
ORD10342,11-02-2023,Smartwatch Z,Gadgets,31012.02,3,93036.06,4.8,East,Debit card
ORD10620,"Aug 04, 2024",Smartwatch Z,Electronics,49453.91,4,197815.64,4.5,East,Debit card
ORD10275,17-06-2025,Smartphone X,ELECTRONICS,25106.91,4,100427.64,,west,Credit Card
ORD11263,"Nov 15, 2024",Laptop Pro,electronics,40307.42,1,40307.42,4.4,south,Debit card
ORD11190,23-01-2024,Laptop Pro,Electronics,55370.68,1,55370.68,3.3,NORTH,upi
ORD10948,03-31-2022,Laptop Pro,Gadgets,40935.03,1,40935.03,2.7,South,upi
ORD10430,01-28-2022,Laptop Pro,Gadgets,63004.02,4,252016.08,4.4,west,COD
ORD10576,05-17-2022,Laptop Pro,Electronics,31700.82,1,31700.82,4.3,west,Debit card
ORD10712,04-09-2023,Gaming Console,Gadgets,49572.65,4,198290.6,1.2,East,cod
ORD11047,29-01-2024,Wireless Earbuds,Electronics,44969.22,4,179876.88,4,East,Credit Card
ORD10984,31-07-2023,Wireless Earbuds,Gadgets,33782.85,4,135131.4,2.3,East,COD
ORD10380,26-07-2023,Smartwatch Z,electronics,46685.54,4,186742.16,4.5,East,cod
ORD10936,02-24-2025,Smartphone X,Electronics,67017.96,4,268071.84,4.7,South,Debit card
ORD10411,05-22-2025,Smartphone X,electronics,58008.24,2,116016.48,2.1,South,UPI
ORD10706,"Jun 29, 2025",Smartphone X,ELECTRONICS,57095.57,4,228382.28,2.6,South,cod
ORD10297,06-12-2024,Smartphone X,electronics,60333.39,4,241333.56,2.7,NORTH,cod
ORD10534,11-14-2023,Wireless Earbuds,ELECTRONICS,65178.57,1,65178.57,3.6,South,Debit card
ORD11174,05-01-2025,Gaming Console,Electronics,55612.73,1,55612.73,2.9,South,upi
ORD10270,"Jun 13, 2023",Smartphone X,Electronics,44602.5,1,44602.5,3.2,South,COD
ORD10051,02-07-2025,Smartwatch Z,electronics,49469.72,3,148409.16,3.4,south,Debit card
ORD10847,"Jan 30, 2024",Smartwatch Z,electronics,68383.08,4,273532.32,4.2,East,upi
ORD10371,20-02-2025,Wireless Earbuds,Electronics,50940.34,2,101880.68,2.4,South,Credit Card
ORD10426,30-08-2023,Wireless Earbuds,Gadgets,21039.72,3,63119.16,3.1,East,UPI
ORD11203,26-05-2023,Smartwatch Z,Gadgets,21888.66,3,65665.98,1.8,South,cod
ORD10861,30-03-2025,Gaming Console,ELECTRONICS,58481.22,4,233924.88,3,South,Debit card
ORD10970,"Sep 05, 2022",Smartwatch Z,Electronics,69773.38,3,209320.14,4.5,west,upi
ORD11032,27-12-2024,Smartwatch Z,electronics,-2084.28,4,-8337.12,4.3,south,Debit card
